Country,Type,Reliability,Mileage,Price,Weight,Disp.,HP
USA,Small,4,33,8895,2560,97,113
USA,Small,2,33,7402,2345,114,90
Korea,Small,4,37,6319,1845,81,63
Japan/USA,Small,5,32,6635,2260,91,92
Japan,Small,5,32,6599,2440,113,103
Mexico,Small,4,26,8672,2285,97,82
Japan/USA,Small,5,33,7399,2275,97,90
Korea,Small,1,28,7254,2350,98,74
Japan,Small,5,25,9599,2295,109,90
Japan,Small,NA,34,5866,1900,73,73
Japan/USA,Small,5,29,8748,2390,97,102
Japan,Small,5,35,6488,2075,89,78
Germany,Small,3,26,9995,2330,109,100
USA,Sporty,1,20,11545,3320,305,170
USA,Sporty,1,27,9745,2885,153,100
USA,Sporty,1,19,12164,3310,302,225
USA,Sporty,3,30,11470,2695,133,110
Japan,Sporty,5,33,9410,2170,97,108
Japan,Sporty,5,27,13945,2710,125,140
Japan,Sporty,3,24,13249,2775,146,140
USA,Sporty,NA,26,10855,2840,107,92
Japan,Sporty,NA,28,13071,2485,109,97
Germany,Compact,NA,27,18900,2670,121,108
USA,Compact,2,23,10565,2640,151,110
USA,Compact,1,26,10320,2655,133,95
USA,Compact,4,25,10945,3065,181,141
USA,Compact,2,24,9483,2750,141,98
Japan/USA,Compact,5,26,12145,2920,132,125
Japan/USA,Compact,4,24,12459,2780,133,110
Japan,Compact,5,25,10989,2745,122,102
Japan,Compact,4,21,17879,3110,181,142
Japan,Compact,5,21,11650,2920,146,138
USA,Compact,2,23,9995,2645,151,110
France,Compact,NA,24,15930,2575,116,120
Japan/USA,Compact,5,23,11499,2935,135,130
Japan/USA,Compact,5,27,11588,2920,122,115
Sweden,Compact,3,23,18450,2985,141,114
Japan,Medium,5,20,24760,3265,163,160
USA,Medium,3,21,13150,2880,151,110
USA,Medium,2,22,12495,2975,153,150
USA,Medium,3,22,16342,3450,202,147
USA,Medium,2,22,15350,3145,180,150
USA,Medium,3,22,13195,3190,182,140
USA,Medium,1,23,14980,3610,232,140
Korea,Medium,NA,23,9999,2885,143,110
Japan,Medium,5,21,23300,3480,180,158
Japan,Medium,5,22,17899,3200,180,160
USA,Medium,2,21,13150,2765,151,110
USA,Medium,NA,21,14495,3220,189,135
Japan,Medium,3,23,21498,3480,180,190
USA,Large,3,23,16145,3325,231,165
USA,Large,1,18,14525,3855,305,170
USA,Large,3,20,17257,3850,302,150
USA,Van,NA,18,13995,3195,151,110
USA,Van,3,18,15395,3735,202,150
USA,Van,3,18,12267,3665,182,145
Japan,Van,5,19,14944,3735,181,150
Japan,Van,NA,20,14929,3415,143,107
Japan,Van,NA,20,13949,3185,146,138
Japan,Van,NA,19,14799,3690,146,106
